Age,Sex,Condition,Mouse.Genotyping,ID,Timepoint,Genotype,DaysOfEE,DaysOfEE0
5.9,F,Enriched,Homozygous,1117,Pre2,CREB -/-,-3,0
5.9,F,Enriched,Wildtype,1139,Pre2,CREB +/+,-3,0
6.1,F,Standard,Heterozygous,1140,Pre2,CREB +/-,-3,0
6.1,F,Standard,Wildtype,1127,Pre2,CREB +/+,-3,0
6.1,F,Standard,Heterozygous,1121,Pre2,CREB +/-,-3,0
6.4,F,Enriched,Wildtype,1134,1 week,CREB +/+,8,8
6.4,F,Enriched,Heterozygous,1135,1 week,CREB +/-,8,8
5.9,F,Enriched,Homozygous,1117,1 week,CREB -/-,8,8
5.9,F,Enriched,Wildtype,1139,1 week,CREB +/+,8,8
6.1,F,Standard,Heterozygous,1140,1 week,CREB +/-,8,8
6.1,F,Standard,Wildtype,1127,1 week,CREB +/+,8,8
6.1,F,Standard,Heterozygous,1121,1 week,CREB +/-,8,8
6.4,F,Enriched,Wildtype,1134,2 week,CREB +/+,16,16
6.4,F,Enriched,Heterozygous,1135,2 week,CREB +/-,16,16
5.9,F,Enriched,Homozygous,1117,2 week,CREB -/-,16,16
5.9,F,Enriched,Wildtype,1139,2 week,CREB +/+,16,16
6.1,F,Standard,Heterozygous,1140,2 week,CREB +/-,16,16
6.1,F,Standard,Wildtype,1127,2 week,CREB +/+,16,16
6.1,F,Standard,Heterozygous,1121,2 week,CREB +/-,16,16
5.9,F,Standard,Homozygous,1122,48h,CREB -/-,2,2
6.1,F,Standard,Wildtype,1114,48h,CREB +/+,2,2
6.1,F,Enriched,Heterozygous,1113,48h,CREB +/-,2,2
6.1,F,Enriched,Wildtype,1137,48h,CREB +/+,2,2
6.1,F,Enriched,Homozygous,1120,48h,CREB -/-,2,2
5.9,F,Enriched,Heterozygous,1128,48h,CREB +/-,2,2
6.1,F,Enriched,Wildtype,1136,48h,CREB +/+,2,2
6.1,F,Enriched,Wildtype,1136,Pre1,CREB +/+,-4,0
5.9,F,Enriched,Heterozygous,1128,Pre1,CREB +/-,-4,0
6.1,F,Enriched,Homozygous,1120,Pre1,CREB -/-,-4,0
6.1,F,Enriched,Wildtype,1137,Pre1,CREB +/+,-4,0
6.1,F,Enriched,Heterozygous,1113,Pre1,CREB +/-,-4,0
6.1,F,Standard,Wildtype,1114,Pre1,CREB +/+,-4,0
5.9,F,Standard,Homozygous,1122,Pre1,CREB -/-,-4,0
5.9,F,Standard,Homozygous,1122,Pre2,CREB -/-,-3,0
6.1,F,Standard,Wildtype,1114,Pre2,CREB +/+,-3,0
6.1,F,Enriched,Heterozygous,1113,Pre2,CREB +/-,-3,0
6.1,F,Enriched,Wildtype,1137,Pre2,CREB +/+,-3,0
6.1,F,Enriched,Homozygous,1120,Pre2,CREB -/-,-3,0
5.9,F,Enriched,Heterozygous,1128,Pre2,CREB +/-,-3,0
6.1,F,Enriched,Wildtype,1136,Pre2,CREB +/+,-3,0
5.9,F,Standard,Homozygous,1122,1 week,CREB -/-,8,8
6.1,F,Standard,Wildtype,1114,1 week,CREB +/+,8,8
6.1,F,Enriched,Heterozygous,1113,1 week,CREB +/-,8,8
6.1,F,Enriched,Wildtype,1137,1 week,CREB +/+,8,8
6.1,F,Enriched,Homozygous,1120,1 week,CREB -/-,8,8
5.9,F,Enriched,Heterozygous,1128,1 week,CREB +/-,8,8
6.1,F,Enriched,Wildtype,1136,1 week,CREB +/+,8,8
5.9,F,Standard,Homozygous,1122,2 week,CREB -/-,16,16
6.1,F,Standard,Wildtype,1114,2 week,CREB +/+,16,16
6.1,F,Enriched,Heterozygous,1113,2 week,CREB +/-,16,16
6.1,F,Enriched,Wildtype,1137,2 week,CREB +/+,16,16
5.9,F,Enriched,Heterozygous,1128,2 week,CREB +/-,16,16
6.1,F,Enriched,Wildtype,1136,2 week,CREB +/+,16,16
8.1,M,Enriched,Homozygous,1142,48h,CREB -/-,2,2
8.1,M,Enriched,Heterozygous,1143,48h,CREB +/-,2,2
7.4,F,Exercise,Wildtype,1160,48h,CREB +/+,2,2
7.9,M,Standard,Homozygous,1149,48h,CREB -/-,2,2
7.9,M,Standard,Wildtype,1154,48h,CREB +/+,2,2
8.1,F,Exercise,Homozygous,1147,48h,CREB -/-,2,2
8.1,F,Exercise,Heterozygous,1148,48h,CREB +/-,2,2
8.1,M,Enriched,Homozygous,1142,Pre1,CREB -/-,-4,0
8.1,M,Enriched,Heterozygous,1143,Pre1,CREB +/-,-4,0
7.4,F,Exercise,Wildtype,1160,Pre1,CREB +/+,-4,0
7.9,M,Standard,Homozygous,1149,Pre1,CREB -/-,-4,0
7.9,M,Standard,Wildtype,1154,Pre1,CREB +/+,-4,0
8.1,F,Exercise,Homozygous,1147,Pre1,CREB -/-,-4,0
8.1,F,Exercise,Heterozygous,1148,Pre1,CREB +/-,-4,0
8.1,M,Enriched,Homozygous,1142,Pre2,CREB -/-,-3,0
8.1,M,Enriched,Heterozygous,1143,Pre2,CREB +/-,-3,0
7.4,F,Exercise,Wildtype,1160,Pre2,CREB +/+,-3,0
7.9,M,Standard,Homozygous,1149,Pre2,CREB -/-,-3,0
7.9,M,Standard,Wildtype,1154,Pre2,CREB +/+,-3,0
8.1,F,Exercise,Homozygous,1147,Pre2,CREB -/-,-3,0
8.1,F,Exercise,Heterozygous,1148,Pre2,CREB +/-,-3,0
8.1,M,Enriched,Homozygous,1142,1 week,CREB -/-,8,8
8.1,M,Enriched,Heterozygous,1143,1 week,CREB +/-,8,8
7.4,F,Exercise,Wildtype,1160,1 week,CREB +/+,8,8
7.9,M,Standard,Homozygous,1149,1 week,CREB -/-,8,8
7.9,M,Standard,Wildtype,1154,1 week,CREB +/+,8,8
8.1,F,Exercise,Homozygous,1147,1 week,CREB -/-,8,8
8.1,F,Exercise,Heterozygous,1148,1 week,CREB +/-,8,8
8.1,M,Enriched,Homozygous,1142,2 week,CREB -/-,16,16
8.1,M,Enriched,Heterozygous,1143,2 week,CREB +/-,16,16
7.4,F,Exercise,Wildtype,1160,2 week,CREB +/+,16,16
7.9,M,Standard,Homozygous,1149,2 week,CREB -/-,16,16
7.9,M,Standard,Wildtype,1154,2 week,CREB +/+,16,16
8.1,F,Exercise,Homozygous,1147,2 week,CREB -/-,16,16
8.1,F,Exercise,Heterozygous,1148,2 week,CREB +/-,16,16
8.1,M,Enriched,Wildtype,1144,48h,CREB +/+,2,2
7.9,M,Enriched,Homozygous,1150,48h,CREB -/-,2,2
8.1,F,Exercise,Homozygous,1145,48h,CREB -/-,2,2
8.1,F,Isolated Standard,Homozygous,1146,48h,CREB -/-,2,2
7.4,M,Standard,Heterozygous,1159,48h,CREB +/-,2,2
7.4,F,Isolated Standard,Heterozygous,1161,48h,CREB +/-,2,2
7.4,F,Isolated Standard,Wildtype,1162,48h,CREB +/+,2,2
8.1,M,Enriched,Wildtype,1144,Pre1,CREB +/+,-4,0
7.9,M,Enriched,Homozygous,1150,Pre1,CREB -/-,-4,0
8.1,F,Exercise,Homozygous,1145,Pre1,CREB -/-,-4,0
7.4,M,Standard,Heterozygous,1159,Pre1,CREB +/-,-4,0
7.4,F,Isolated Standard,Heterozygous,1161,Pre1,CREB +/-,-4,0
7.4,F,Isolated Standard,Wildtype,1162,Pre1,CREB +/+,-4,0
8.1,M,Enriched,Wildtype,1144,Pre2,CREB +/+,-3,0
7.9,M,Enriched,Homozygous,1150,Pre2,CREB -/-,-3,0
8.1,F,Exercise,Homozygous,1145,Pre2,CREB -/-,-3,0
8.1,F,Isolated Standard,Homozygous,1146,Pre2,CREB -/-,-3,0
7.4,M,Standard,Heterozygous,1159,Pre2,CREB +/-,-3,0
7.4,F,Isolated Standard,Heterozygous,1161,Pre2,CREB +/-,-3,0
7.4,F,Isolated Standard,Wildtype,1162,Pre2,CREB +/+,-3,0
8.1,M,Enriched,Wildtype,1144,1 week,CREB +/+,8,8
8.1,F,Exercise,Homozygous,1145,1 week,CREB -/-,8,8
8.1,F,Isolated Standard,Homozygous,1146,1 week,CREB -/-,8,8
7.4,M,Standard,Heterozygous,1159,1 week,CREB +/-,8,8
7.4,F,Isolated Standard,Heterozygous,1161,1 week,CREB +/-,8,8
7.4,F,Isolated Standard,Wildtype,1162,1 week,CREB +/+,8,8
8.1,M,Enriched,Wildtype,1144,2 week,CREB +/+,16,16
7.9,M,Enriched,Homozygous,1150,2 week,CREB -/-,16,16
8.1,F,Exercise,Homozygous,1145,2 week,CREB -/-,16,16
8.1,F,Isolated Standard,Homozygous,1146,2 week,CREB -/-,16,16
7.4,M,Standard,Heterozygous,1159,2 week,CREB +/-,16,16
7.4,F,Isolated Standard,Heterozygous,1161,2 week,CREB +/-,16,16
7.4,F,Isolated Standard,Wildtype,1162,2 week,CREB +/+,16,16
5.7,F,Exercise,Wildtype,1205,48h,CREB +/+,2,2
5.7,F,Isolated Standard,Wildtype,1206,48h,CREB +/+,2,2
7.2,M,Enriched,Heterozygous,1164,48h,CREB +/-,2,2
7.2,M,Enriched,Wildtype,1163,48h,CREB +/+,2,2
6.8,F,Exercise,Homozygous,1175,48h,CREB -/-,2,2
6.8,F,Isolated Standard,Wildtype,1173,48h,CREB +/+,2,2
5.8,M,Standard,Heterozygous,1186,48h,CREB +/-,2,2
5.7,F,Exercise,Wildtype,1205,Pre1,CREB +/+,-4,0
5.7,F,Isolated Standard,Wildtype,1206,Pre1,CREB +/+,-4,0
7.2,M,Enriched,Heterozygous,1164,Pre1,CREB +/-,-4,0
7.2,M,Enriched,Wildtype,1163,Pre1,CREB +/+,-4,0
6.8,F,Exercise,Homozygous,1175,Pre1,CREB -/-,-4,0
6.8,F,Isolated Standard,Wildtype,1173,Pre1,CREB +/+,-4,0
5.8,M,Standard,Heterozygous,1186,Pre1,CREB +/-,-4,0
5.7,F,Exercise,Wildtype,1205,Pre2,CREB +/+,-3,0
7.2,M,Enriched,Heterozygous,1164,Pre2,CREB +/-,-3,0
7.2,M,Enriched,Wildtype,1163,Pre2,CREB +/+,-3,0
6.8,F,Exercise,Homozygous,1175,Pre2,CREB -/-,-3,0
6.8,F,Isolated Standard,Wildtype,1173,Pre2,CREB +/+,-3,0
5.8,M,Standard,Heterozygous,1186,Pre2,CREB +/-,-3,0
5.7,F,Exercise,Wildtype,1205,1 week,CREB +/+,8,8
5.7,F,Isolated Standard,Wildtype,1206,1 week,CREB +/+,8,8
7.2,M,Enriched,Heterozygous,1164,1 week,CREB +/-,8,8
7.2,M,Enriched,Wildtype,1163,1 week,CREB +/+,8,8
6.8,F,Exercise,Homozygous,1175,1 week,CREB -/-,8,8
6.8,F,Isolated Standard,Wildtype,1173,1 week,CREB +/+,8,8
5.8,M,Standard,Heterozygous,1186,1 week,CREB +/-,8,8
5.7,F,Exercise,Wildtype,1205,2 week,CREB +/+,16,16
5.7,F,Isolated Standard,Wildtype,1206,2 week,CREB +/+,16,16
7.2,M,Enriched,Wildtype,1163,2 week,CREB +/+,16,16
6.8,F,Isolated Standard,Wildtype,1173,2 week,CREB +/+,16,16
5.8,M,Standard,Heterozygous,1186,2 week,CREB +/-,16,16
6.8,M,Enriched,Wildtype,1176,48h,CREB +/+,2,2
7.2,M,Enriched,Homozygous,1165,48h,CREB -/-,2,2
7.2,F,Exercise,Wildtype,1169,48h,CREB +/+,2,2
5.5,M,Standard,Heterozygous,1232,48h,CREB +/-,2,2
5.7,M,Standard,Homozygous,1200,48h,CREB -/-,2,2
5.5,M,Standard,Wildtype,1233,48h,CREB +/+,2,2
6.8,M,Enriched,Wildtype,1176,Pre1,CREB +/+,-4,0
7.2,M,Enriched,Homozygous,1165,Pre1,CREB -/-,-4,0
7.2,F,Exercise,Wildtype,1169,Pre1,CREB +/+,-4,0
5.5,M,Standard,Heterozygous,1232,Pre1,CREB +/-,-4,0
5.7,M,Standard,Homozygous,1200,Pre1,CREB -/-,-4,0
5.5,M,Standard,Wildtype,1233,Pre1,CREB +/+,-4,0
6.8,M,Enriched,Wildtype,1176,Pre2,CREB +/+,-3,0
7.2,M,Enriched,Homozygous,1165,Pre2,CREB -/-,-3,0
7.2,F,Exercise,Wildtype,1169,Pre2,CREB +/+,-3,0
5.5,M,Standard,Heterozygous,1232,Pre2,CREB +/-,-3,0
5.7,M,Standard,Homozygous,1200,Pre2,CREB -/-,-3,0
5.5,M,Standard,Wildtype,1233,Pre2,CREB +/+,-3,0
6.8,M,Enriched,Wildtype,1176,1 week,CREB +/+,8,8
7.2,M,Enriched,Homozygous,1165,1 week,CREB -/-,8,8
7.2,F,Exercise,Wildtype,1169,1 week,CREB +/+,8,8
5.5,M,Standard,Heterozygous,1232,1 week,CREB +/-,8,8
5.7,M,Standard,Homozygous,1200,1 week,CREB -/-,8,8
5.5,M,Standard,Wildtype,1233,1 week,CREB +/+,8,8
6.8,M,Enriched,Wildtype,1176,2 week,CREB +/+,16,16
7.2,M,Enriched,Homozygous,1165,2 week,CREB -/-,16,16
7.2,F,Exercise,Wildtype,1169,2 week,CREB +/+,16,16
5.5,M,Standard,Heterozygous,1232,2 week,CREB +/-,16,16
5.7,M,Standard,Homozygous,1200,2 week,CREB -/-,16,16
5.5,M,Standard,Wildtype,1233,2 week,CREB +/+,16,16
5.8,M,Isolated Standard,Wildtype,1185,48h,CREB +/+,2,2
5.5,M,Enriched,Wildtype,1228,48h,CREB +/+,2,2
5.5,M,Standard,Wildtype,1227,48h,CREB +/+,2,2
5.7,M,Standard,Heterozygous,1208,48h,CREB +/-,2,2
5.5,F,Exercise,Heterozygous,1222,48h,CREB +/-,2,2
5.5,F,Exercise,Wildtype,1224,48h,CREB +/+,2,2
5.8,M,Isolated Standard,Wildtype,1185,Pre1,CREB +/+,-4,0
5.5,M,Enriched,Wildtype,1228,Pre1,CREB +/+,-4,0
5.5,M,Standard,Wildtype,1227,Pre1,CREB +/+,-4,0
5.7,M,Standard,Heterozygous,1208,Pre1,CREB +/-,-4,0
5.5,F,Exercise,Heterozygous,1222,Pre1,CREB +/-,-4,0
5.5,F,Exercise,Wildtype,1224,Pre1,CREB +/+,-4,0
5.8,M,Isolated Standard,Wildtype,1185,1 week,CREB +/+,8,8
5.5,M,Enriched,Wildtype,1228,1 week,CREB +/+,8,8
5.5,M,Standard,Wildtype,1227,1 week,CREB +/+,8,8
5.7,M,Standard,Heterozygous,1208,1 week,CREB +/-,8,8
5.5,F,Exercise,Wildtype,1224,1 week,CREB +/+,8,8
5.8,M,Isolated Standard,Wildtype,1185,2 week,CREB +/+,16,16
5.5,M,Enriched,Wildtype,1228,2 week,CREB +/+,16,16
5.5,M,Standard,Wildtype,1227,2 week,CREB +/+,16,16
5.7,M,Standard,Heterozygous,1208,2 week,CREB +/-,16,16
5.5,F,Exercise,Heterozygous,1222,2 week,CREB +/-,16,16
5.5,F,Exercise,Wildtype,1224,2 week,CREB +/+,16,16
5.5,F,Isolated Standard,Wildtype,1223,48h,CREB +/+,2,2
5.7,M,Standard,Wildtype,1209,48h,CREB +/+,2,2
5.5,M,Standard,Homozygous,1239,48h,CREB -/-,2,2
5.5,F,Exercise,Homozygous,1225,48h,CREB -/-,2,2
5.8,M,Exercise,Wildtype,1187,48h,CREB +/+,2,2
5.5,M,Enriched,Homozygous,1229,48h,CREB -/-,2,2
5.5,F,Isolated Standard,Wildtype,1223,Pre1,CREB +/+,-4,0
5.7,M,Standard,Wildtype,1209,Pre1,CREB +/+,-4,0
5.5,M,Standard,Homozygous,1239,Pre1,CREB -/-,-4,0
5.5,F,Exercise,Homozygous,1225,Pre1,CREB -/-,-4,0
5.8,M,Exercise,Wildtype,1187,Pre1,CREB +/+,-4,0
5.5,M,Enriched,Homozygous,1229,Pre1,CREB -/-,-4,0
5.5,F,Isolated Standard,Wildtype,1223,1 week,CREB +/+,8,8
5.7,M,Standard,Wildtype,1209,1 week,CREB +/+,8,8
5.5,M,Standard,Homozygous,1239,1 week,CREB -/-,8,8
5.5,F,Exercise,Homozygous,1225,1 week,CREB -/-,8,8
5.8,M,Exercise,Wildtype,1187,1 week,CREB +/+,8,8
5.5,M,Enriched,Homozygous,1229,1 week,CREB -/-,8,8
5.5,F,Isolated Standard,Wildtype,1223,2 week,CREB +/+,16,16
5.7,M,Standard,Wildtype,1209,2 week,CREB +/+,16,16
5.5,M,Standard,Homozygous,1239,2 week,CREB -/-,16,16
5.5,F,Exercise,Homozygous,1225,2 week,CREB -/-,16,16
5.8,M,Exercise,Wildtype,1187,2 week,CREB +/+,16,16
5.5,M,Enriched,Homozygous,1229,2 week,CREB -/-,16,16
3.8,M,Standard,Homozygous,1252,48h,CREB -/-,2,2
3.7,M,Standard,Heterozygous,1262,48h,CREB +/-,2,2
3.8,M,Enriched,Wildtype,1249,48h,CREB +/+,2,2
3.7,M,Exercise,Wildtype,1267,48h,CREB +/+,2,2
3.8,F,Exercise,Homozygous,1260,48h,CREB -/-,2,2
3.8,F,Isolated Standard,Wildtype,1261,48h,CREB +/+,2,2
3.8,M,Standard,Homozygous,1252,Pre1,CREB -/-,-4,0
3.7,M,Standard,Heterozygous,1262,Pre1,CREB +/-,-4,0
3.8,M,Enriched,Wildtype,1249,Pre1,CREB +/+,-4,0
3.8,M,Enriched,Homozygous,1250,Pre1,CREB -/-,-4,0
3.7,M,Exercise,Wildtype,1267,Pre1,CREB +/+,-4,0
3.8,F,Exercise,Homozygous,1260,Pre1,CREB -/-,-4,0
3.8,F,Isolated Standard,Wildtype,1261,Pre1,CREB +/+,-4,0
3.8,M,Standard,Homozygous,1252,Pre2,CREB -/-,-3,0
3.7,M,Standard,Heterozygous,1262,Pre2,CREB +/-,-3,0
3.8,M,Enriched,Wildtype,1249,Pre2,CREB +/+,-3,0
3.8,M,Enriched,Homozygous,1250,Pre2,CREB -/-,-3,0
3.7,M,Exercise,Wildtype,1267,Pre2,CREB +/+,-3,0
3.8,F,Exercise,Homozygous,1260,Pre2,CREB -/-,-3,0
3.8,F,Isolated Standard,Wildtype,1261,Pre2,CREB +/+,-3,0
3.8,M,Standard,Homozygous,1252,1 week,CREB -/-,8,8
3.7,M,Standard,Heterozygous,1262,1 week,CREB +/-,8,8
3.8,M,Enriched,Wildtype,1249,1 week,CREB +/+,8,8
3.8,M,Enriched,Homozygous,1250,1 week,CREB -/-,8,8
3.7,M,Exercise,Wildtype,1267,1 week,CREB +/+,8,8
3.8,F,Exercise,Homozygous,1260,1 week,CREB -/-,8,8
3.8,F,Isolated Standard,Wildtype,1261,1 week,CREB +/+,8,8
3.8,M,Standard,Homozygous,1252,2 week,CREB -/-,16,16
3.7,M,Standard,Heterozygous,1262,2 week,CREB +/-,16,16
3.8,M,Enriched,Wildtype,1249,2 week,CREB +/+,16,16
3.8,M,Enriched,Homozygous,1250,2 week,CREB -/-,16,16
3.7,M,Exercise,Wildtype,1267,2 week,CREB +/+,16,16
3.8,F,Exercise,Homozygous,1260,2 week,CREB -/-,16,16
3.8,F,Isolated Standard,Wildtype,1261,2 week,CREB +/+,16,16
3.8,F,Exercise,Homozygous,1258,48h,CREB -/-,2,2
3.8,F,Isolated Standard,Wildtype,1259,48h,CREB +/+,2,2
3.7,M,Standard,Homozygous,1263,48h,CREB -/-,2,2
3.7,M,Standard,Wildtype,1265,48h,CREB +/+,2,2
3.7,M,Isolated Standard,Wildtype,1266,48h,CREB +/+,2,2
3.8,M,Enriched,Heterozygous,1251,48h,CREB +/-,2,2
3.7,M,Enriched,Heterozygous,1264,48h,CREB +/-,2,2
3.8,F,Exercise,Homozygous,1258,Pre1,CREB -/-,-4,0
3.8,F,Isolated Standard,Wildtype,1259,Pre1,CREB +/+,-4,0
3.7,M,Standard,Homozygous,1263,Pre1,CREB -/-,-4,0
3.7,M,Standard,Wildtype,1265,Pre1,CREB +/+,-4,0
3.7,M,Isolated Standard,Wildtype,1266,Pre1,CREB +/+,-4,0
3.8,M,Enriched,Heterozygous,1251,Pre1,CREB +/-,-4,0
3.7,M,Enriched,Heterozygous,1264,Pre1,CREB +/-,-4,0
3.8,F,Exercise,Homozygous,1258,Pre2,CREB -/-,-3,0
3.8,F,Isolated Standard,Wildtype,1259,Pre2,CREB +/+,-3,0
3.7,M,Standard,Homozygous,1263,Pre2,CREB -/-,-3,0
3.7,M,Standard,Wildtype,1265,Pre2,CREB +/+,-3,0
3.7,M,Isolated Standard,Wildtype,1266,Pre2,CREB +/+,-3,0
3.8,M,Enriched,Heterozygous,1251,Pre2,CREB +/-,-3,0
3.7,M,Enriched,Heterozygous,1264,Pre2,CREB +/-,-3,0
3.8,F,Exercise,Homozygous,1258,1 week,CREB -/-,8,8
3.8,F,Isolated Standard,Wildtype,1259,1 week,CREB +/+,8,8
3.7,M,Standard,Homozygous,1263,1 week,CREB -/-,8,8
3.7,M,Standard,Wildtype,1265,1 week,CREB +/+,8,8
3.7,M,Isolated Standard,Wildtype,1266,1 week,CREB +/+,8,8
3.8,M,Enriched,Heterozygous,1251,1 week,CREB +/-,8,8
3.7,M,Enriched,Heterozygous,1264,1 week,CREB +/-,8,8
3.8,F,Exercise,Homozygous,1258,2 week,CREB -/-,16,16
3.8,F,Isolated Standard,Wildtype,1259,2 week,CREB +/+,16,16
3.7,M,Standard,Homozygous,1263,2 week,CREB -/-,16,16
3.7,M,Standard,Wildtype,1265,2 week,CREB +/+,16,16
3.7,M,Isolated Standard,Wildtype,1266,2 week,CREB +/+,16,16
3.8,M,Enriched,Heterozygous,1251,2 week,CREB +/-,16,16
3.7,M,Enriched,Heterozygous,1264,2 week,CREB +/-,16,16
6.9,F,Exercise,Heterozygous,1295,48h,CREB +/-,2,2
6.9,F,Isolated Standard,Heterozygous,1296,48h,CREB +/-,2,2
6.9,M,Exercise,Homozygous,1290,48h,CREB -/-,2,2
6.9,M,Isolated Standard,Heterozygous,1284,48h,CREB +/-,2,2
7.1,F,Standard,Homozygous,1277,48h,CREB -/-,2,2
6.9,F,Exercise,Heterozygous,1295,Pre1,CREB +/-,-4,0
6.9,F,Isolated Standard,Heterozygous,1296,Pre1,CREB +/-,-4,0
6.9,M,Exercise,Homozygous,1290,Pre1,CREB -/-,-4,0
6.9,M,Isolated Standard,Heterozygous,1284,Pre1,CREB +/-,-4,0
7.1,F,Standard,Homozygous,1277,Pre1,CREB -/-,-4,0
6.9,F,Exercise,Heterozygous,1295,Pre2,CREB +/-,-3,0
6.9,F,Isolated Standard,Heterozygous,1296,Pre2,CREB +/-,-3,0
6.9,M,Exercise,Homozygous,1290,Pre2,CREB -/-,-3,0
6.9,M,Isolated Standard,Heterozygous,1284,Pre2,CREB +/-,-3,0
7.1,F,Standard,Homozygous,1277,Pre2,CREB -/-,-3,0
6.9,F,Exercise,Heterozygous,1295,1 week,CREB +/-,8,8
6.9,F,Isolated Standard,Heterozygous,1296,1 week,CREB +/-,8,8
6.9,M,Exercise,Homozygous,1290,1 week,CREB -/-,8,8
6.9,M,Isolated Standard,Heterozygous,1284,1 week,CREB +/-,8,8
7.1,F,Standard,Homozygous,1277,1 week,CREB -/-,8,8
6.9,F,Exercise,Heterozygous,1295,2 week,CREB +/-,16,16
6.9,F,Isolated Standard,Heterozygous,1296,2 week,CREB +/-,16,16
6.9,M,Exercise,Homozygous,1290,2 week,CREB -/-,16,16
6.9,M,Isolated Standard,Heterozygous,1284,2 week,CREB +/-,16,16
7.1,F,Standard,Homozygous,1277,2 week,CREB -/-,16,16
6.9,M,Exercise,Wildtype,1291,48h,CREB +/+,2,2
6.9,M,Exercise,Heterozygous,1292,48h,CREB +/-,2,2
6.9,M,Isolated Standard,Wildtype,1282,48h,CREB +/+,2,2
6.9,M,Isolated Standard,Heterozygous,1283,48h,CREB +/-,2,2
7.1,F,Standard,Wildtype,1278,48h,CREB +/+,2,2
6.9,F,Standard,Heterozygous,1293,48h,CREB +/-,2,2
6.9,M,Exercise,Wildtype,1291,Pre1,CREB +/+,-4,0
6.9,M,Exercise,Heterozygous,1292,Pre1,CREB +/-,-4,0
6.9,M,Isolated Standard,Wildtype,1282,Pre1,CREB +/+,-4,0
7.1,F,Standard,Wildtype,1278,Pre1,CREB +/+,-4,0
6.9,F,Standard,Heterozygous,1293,Pre1,CREB +/-,-4,0
6.9,M,Exercise,Wildtype,1291,Pre2,CREB +/+,-3,0
6.9,M,Exercise,Heterozygous,1292,Pre2,CREB +/-,-3,0
6.9,M,Isolated Standard,Wildtype,1282,Pre2,CREB +/+,-3,0
6.9,M,Isolated Standard,Heterozygous,1283,Pre2,CREB +/-,-3,0
7.1,F,Standard,Wildtype,1278,Pre2,CREB +/+,-3,0
6.9,F,Standard,Heterozygous,1293,Pre2,CREB +/-,-3,0
6.9,M,Exercise,Wildtype,1291,1 week,CREB +/+,8,8
6.9,M,Exercise,Heterozygous,1292,1 week,CREB +/-,8,8
6.9,M,Isolated Standard,Wildtype,1282,1 week,CREB +/+,8,8
6.9,M,Isolated Standard,Heterozygous,1283,1 week,CREB +/-,8,8
7.1,F,Standard,Wildtype,1278,1 week,CREB +/+,8,8
6.9,F,Standard,Heterozygous,1293,1 week,CREB +/-,8,8
6.9,M,Exercise,Wildtype,1291,2 week,CREB +/+,16,16
6.9,M,Exercise,Heterozygous,1292,2 week,CREB +/-,16,16
6.9,M,Isolated Standard,Wildtype,1282,2 week,CREB +/+,16,16
6.9,M,Isolated Standard,Heterozygous,1283,2 week,CREB +/-,16,16
7.1,F,Standard,Wildtype,1278,2 week,CREB +/+,16,16
6.9,F,Standard,Heterozygous,1293,2 week,CREB +/-,16,16
6.4,F,Exercise,Wildtype,1310,48h,CREB +/+,2,2
6.4,F,Standard,Wildtype,1311,48h,CREB +/+,2,2
6.5,F,Enriched,Heterozygous,1304,48h,CREB +/-,2,2
6.5,F,Enriched,Wildtype,1305,48h,CREB +/+,2,2
6.4,F,Isolated Standard,Wildtype,1309,48h,CREB +/+,2,2
6.5,M,Exercise,Wildtype,1303,48h,CREB +/+,2,2
6.5,M,Isolated Standard,Wildtype,1300,48h,CREB +/+,2,2
6.4,F,Exercise,Wildtype,1310,Pre1,CREB +/+,-4,0
6.4,F,Standard,Wildtype,1311,Pre1,CREB +/+,-4,0
6.5,F,Enriched,Heterozygous,1304,Pre1,CREB +/-,-4,0
6.5,F,Enriched,Wildtype,1305,Pre1,CREB +/+,-4,0
6.4,F,Isolated Standard,Wildtype,1309,Pre1,CREB +/+,-4,0
6.5,M,Exercise,Wildtype,1303,Pre1,CREB +/+,-4,0
6.5,M,Isolated Standard,Wildtype,1300,Pre1,CREB +/+,-4,0
6.4,F,Exercise,Wildtype,1310,Pre2,CREB +/+,-3,0
6.4,F,Standard,Wildtype,1311,Pre2,CREB +/+,-3,0
6.5,F,Enriched,Heterozygous,1304,Pre2,CREB +/-,-3,0
6.5,F,Enriched,Wildtype,1305,Pre2,CREB +/+,-3,0
6.4,F,Isolated Standard,Wildtype,1309,Pre2,CREB +/+,-3,0
6.5,M,Exercise,Wildtype,1303,Pre2,CREB +/+,-3,0
6.5,M,Isolated Standard,Wildtype,1300,Pre2,CREB +/+,-3,0
6.4,F,Exercise,Wildtype,1310,1 week,CREB +/+,8,8
6.4,F,Standard,Wildtype,1311,1 week,CREB +/+,8,8
6.5,F,Enriched,Heterozygous,1304,1 week,CREB +/-,8,8
6.5,F,Enriched,Wildtype,1305,1 week,CREB +/+,8,8
6.4,F,Isolated Standard,Wildtype,1309,1 week,CREB +/+,8,8
6.5,M,Exercise,Wildtype,1303,1 week,CREB +/+,8,8
6.5,M,Isolated Standard,Wildtype,1300,1 week,CREB +/+,8,8
6.4,F,Exercise,Wildtype,1310,2 week,CREB +/+,16,16
6.4,F,Standard,Wildtype,1311,2 week,CREB +/+,16,16
6.5,F,Enriched,Heterozygous,1304,2 week,CREB +/-,16,16
6.5,F,Enriched,Wildtype,1305,2 week,CREB +/+,16,16
6.4,F,Isolated Standard,Wildtype,1309,2 week,CREB +/+,16,16
